Region ,Market,Maize (Min Price),Maize (Max Price),Date
Arusha,Arusha (Urban),"43,000","45,000","05th May, 2021"
D'Salaam,Temeke (Tandika),"46,000","47,000","05th May, 2021"
Dodoma,Majengo,"45,000","50,000","05th May, 2021"
Dodoma,Kibaigwa,"30,000","42,000","05th May, 2021"
Kagera,Bukoba,"33,000","35,000","05th May, 2021"
Manyara,Babati,"30,000","45,000","05th May, 2021"
Rukwa,Sumbawanga,"30,000","42,000","05th May, 2021"
Mpanda,Mpanda,"30,000","30,000","05th May, 2021"
Mtwara,Mtwara,"57,000","57,000","05th May, 2021"
Tabora,Tabora,"34,000","36,000","05th May, 2021"
Tanga,Tanga,"38,000","45,000","05th May, 2021"
Arusha,Arusha (Urban),"45,000","46,000","21st May, 2021"
D'Salaam,Temeke (Tandika),"48,000","50,000","21st May, 2021"
D'Salaam,Kinondoni (Tandale),"40,000","43,000","21st May, 2021"
D'Salaam,Ilala (Buguruni),"44,000","46,000","21st May, 2021"
Dodoma,Majengo,"49,000","53,000","21st May, 2021"
Dodoma,Kibaigwa,"34,000","44,000","21st May, 2021"
Iringa,Iringa,"42,000","42,000","21st May, 2021"
Kagera,Bukoba,"34,000","36,000","21st May, 2021"
Kigoma,Kigoma,"39,000","39,000","21st May, 2021"
Manyara,Babati,"30,000","45,000","21st May, 2021"
Rukwa,Sumbawanga,"25,000","30,000","21st May, 2021"
Mpanda,Mpanda,"30,000","30,000","21st May, 2021"
Mtwara,Mtwara,"42,000","42,000","21st May, 2021"
Morogoro,Morogoro,"39,062","42,968","21st May, 2021"
Tabora,Tabora,"34,000","36,000","21st May, 2021"
Mwanza,Mwanza,"55,000","60,000","21st May, 2021"
Mara,Musoma,"50,000","55,000","21st May, 2021"
Ruvuma,Songea,"35,000","45,000","21st May, 2021"
Shinyanga,Shinyanga,"42,000","48,000","21st May, 2021"
Tanga,Tanga,"43,000","45,000","21st May, 2021"
Arusha,Arusha (Urban),"46,000","50,000","24th May, 2021"
D'Salaam,Temeke (Tandika),"48,000","50,000","24th May, 2021"
D'Salaam,Kinondoni (Tandale),"43,000","70,000","24th May, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","24th May, 2021"
Dodoma,Majengo,"46,500","55,000","24th May, 2021"
Kagera,Bukoba,"40,000","45,000","24th May, 2021"
Manyara,Babati,"30,000","45,000","24th May, 2021"
Rukwa,Sumbawanga,"25,000","25,000","24th May, 2021"
Mpanda,Mpanda,"30,000","30,000","24th May, 2021"
Mtwara,Mtwara,"57,000","57,000","24th May, 2021"
Tabora,Tabora,"34,000","36,000","24th May, 2021"
Mwanza,Mwanza,"45,000","55,000","24th May, 2021"
Mara,Musoma,"50,000","55,000","24th May, 2021"
Ruvuma,Songea,"35,000","50,000","24th May, 2021"
Shinyanga,Shinyanga,"42,000","48,000","24th May, 2021"
Tanga,Tanga,"39,814","39,814","24th May, 2021"
Arusha,Arusha (Urban),"47,000","52,000","28th May, 2021"
D'Salaam,Temeke (Tandika),"48,000","50,000","28th May, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","28th May, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","28th May, 2021"
Dodoma,Majengo,"46,500","55,000","28th May, 2021"
Kagera,Bukoba,"44,000","50,000","28th May, 2021"
Manyara,Babati,"30,000","45,000","28th May, 2021"
Rukwa,Sumbawanga,"27,000","33,000","28th May, 2021"
Mpanda,Mpanda,"30,000","30,000","28th May, 2021"
Mtwara,Mtwara,"57,000","57,000","28th May, 2021"
Tabora,Tabora,"34,000","36,000","28th May, 2021"
Mwanza,Mwanza,"45,000","55,000","28th May, 2021"
Mara,Musoma,"50,000","55,000","28th May, 2021"
Ruvuma,Songea,"35,000","50,000","28th May, 2021"
Shinyanga,Shinyanga,"42,000","48,000","28th May, 2021"
Tanga,Tanga,"39,814","39,814","28th May, 2021"
Arusha,Arusha (Urban),"45,000","50,000","31st May, 2021"
D'Salaam,Temeke (Tandika),"48,000","50,000","31st May, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","31st May, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","31st May, 2021"
Dodoma,Majengo,"46,500","55,000","31st May, 2021"
Kagera,Bukoba,"44,000","50,000","31st May, 2021"
Manyara,Babati,"30,000","45,000","31st May, 2021"
Rukwa,Sumbawanga,"30,000","33,000","31st May, 2021"
Mpanda,Mpanda,"30,000","30,000","31st May, 2021"
Mtwara,Mtwara,"57,000","57,000","31st May, 2021"
Morogoro,Morogoro,"49,625","49,625","31st May, 2021"
Tabora,Tabora,"34,000","36,000","31st May, 2021"
Mwanza,Mwanza,"45,000","55,000","31st May, 2021"
Mara,Musoma,"50,000","55,000","31st May, 2021"
Ruvuma,Songea,"35,000","50,000","31st May, 2021"
Shinyanga,Shinyanga,"42,000","48,000","31st May, 2021"
Tanga,Tanga,"39,814","39,814","31st May, 2021"
Arusha,Arusha (Urban),"43,000","45,000","04th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","48,000","04th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","04th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","04th June, 2021"
Dodoma,Majengo,"48,000","58,000","04th June, 2021"
Kagera,Bukoba,"44,000","50,000","04th June, 2021"
Manyara,Babati,"36,000","42,000","04th June, 2021"
Rukwa,Sumbawanga,"30,000","36,000","04th June, 2021"
Mpanda,Mpanda,"30,000","30,000","04th June, 2021"
Mtwara,Mtwara,"42,000","42,000","04th June, 2021"
Tabora,Tabora,"34,000","36,000","04th June, 2021"
Mwanza,Mwanza,"45,000","55,000","04th June, 2021"
Mara,Musoma,"50,000","55,000","04th June, 2021"
Ruvuma,Songea,"40,000","50,000","04th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","04th June, 2021"
Tanga,Tanga,"39,814","39,814","04th June, 2021"
Arusha,Arusha (Urban),"42,000","45,000","07th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","48,000","07th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","07th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","07th June, 2021"
Dodoma,Majengo,"45,000","55,000","07th June, 2021"
Kagera,Bukoba,"44,000","50,000","07th June, 2021"
Manyara,Babati,"36,000","42,000","07th June, 2021"
Rukwa,Sumbawanga,"30,000","36,000","07th June, 2021"
Mpanda,Mpanda,"30,000","30,000","07th June, 2021"
Mtwara,Mtwara,"42,000","42,000","07th June, 2021"
Tabora,Tabora,"34,000","36,000","07th June, 2021"
Mwanza,Mwanza,"45,000","55,000","07th June, 2021"
Mara,Musoma,"50,000","55,000","07th June, 2021"
Ruvuma,Songea,"40,000","50,000","07th June, 2021"
Shinyanga,Shinyanga,"42,000","48,000","07th June, 2021"
Tanga,Tanga,"43,518","43,518","07th June, 2021"
Arusha,Arusha (Urban),"43,000","45,000","09th June, 2021"
D'Salaam,Temeke (Tandika),"46,000","48,000","09th June, 2021"
D'Salaam,Kinondoni (Tandale),"42,000","43,000","09th June, 2021"
D'Salaam,Ilala (Buguruni),"44,000","50,000","09th June, 2021"
Dodoma,Majengo,"45,000","55,000","09th June, 2021"
Kagera,Bukoba,"45,000","50,000","09th June, 2021"
Manyara,Babati,"36,000","42,000","09th June, 2021"
Rukwa,Sumbawanga,"30,000","36,000","09th June, 2021"
Mpanda,Mpanda,"30,000","30,000","09th June, 2021"
Mtwara,Mtwara,"40,000","40,000","09th June, 2021"
Tabora,Tabora,"34,000","36,000","09th June, 2021"
