Region,Market,Maize..min.price.,Maize..max.price.,Latitude,Longitude
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,47000,-6.85097,39.25672
Dodoma,Majengo,45000,50000,-6.17971,35.74109
Dodoma,Kibaigwa,30000,42000,-6.0811,36.64645
Kagera,Bukoba,33000,35000,-1.3314,31.81293
Manyara,Babati,30000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,42000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,57000,57000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Tanga,Tanga,38000,45000,-5.07426,39.09993
Arusha,Arusha,45000,46000,-3.36968,36.68808
Dar es Salaam,Temeke,48000,50000,-6.85097,39.25672
Dar es Salaam,Kinondoni,40000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,46000,-6.82941,39.26289
Dodoma,Majengo,49000,53000,-6.17971,35.74109
Dodoma,Kibaigwa,34000,44000,-6.0811,36.64645
Iringa,Iringa,42000,42000,-7.78001,35.69671
Kigoma,Kigoma,39000,39000,-4.89697,29.65987
Manyara,Babati,30000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,25000,30000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,42000,42000,-10.28009,40.18191
Morogoro,Morogoro,39062,42968,-6.82771,37.66542
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,55000,60000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,35000,45000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,43000,45000,-5.07426,39.09993
Arusha,Arusha,46000,50000,-3.36968,36.68808
Dar es Salaam,Temeke,48000,50000,-6.85097,39.25672
Dar es Salaam,Kinondoni,43000,70000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,46500,55000,-6.17971,35.74109
Kagera,Bukoba,40000,45000,-1.3314,31.81293
Manyara,Babati,30000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,25000,25000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,57000,57000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,35000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,39814,39814,-5.07426,39.09993
Arusha,Arusha,47000,52000,-3.36968,36.68808
Dar es Salaam,Temeke,48000,50000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,46500,55000,-6.17971,35.74109
Kagera,Bukoba,44000,50000,-1.3314,31.81293
Manyara,Babati,30000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,27000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,57000,57000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,35000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,39814,39814,-5.07426,39.09993
Arusha,Arusha,45000,50000,-3.36968,36.68808
Dar es Salaam,Temeke,48000,50000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,46500,55000,-6.17971,35.74109
Kagera,Bukoba,44000,50000,-1.3314,31.81293
Manyara,Babati,30000,45000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,33000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,57000,57000,-10.28009,40.18191
Morogoro,Morogoro,49625,49625,-6.82771,37.66542
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,35000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,39814,39814,-5.07426,39.09993
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,48000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,48000,58000,-6.17971,35.74109
Kagera,Bukoba,44000,50000,-1.3314,31.81293
Manyara,Babati,36000,42000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,36000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,42000,42000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,40000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,39814,39814,-5.07426,39.09993
Arusha,Arusha,42000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,48000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,55000,-6.17971,35.74109
Kagera,Bukoba,44000,50000,-1.3314,31.81293
Manyara,Babati,36000,42000,-4.21006,35.74915
Rukwa,Sumbawanga,30000,36000,-7.95239,31.62319
Mpanda,Mpanda,30000,30000,-6.34295,31.07299
Mtwara,Mtwara,42000,42000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Mwanza,Mwanza,45000,55000,-2.51969,32.90144
Mara,Musoma,50000,55000,-1.49982,33.8083
Ruvuma,Songea,40000,50000,-10.67873,35.64836
Shinyanga,Shinyanga,42000,48000,-3.67226,33.43069
Tanga,Tanga,43518,43518,-5.07426,39.09993
Arusha,Arusha,43000,45000,-3.36968,36.68808
Dar es Salaam,Temeke,46000,48000,-6.85097,39.25672
Dar es Salaam,Kinondoni,42000,43000,-6.78407,39.27007
Dar es Salaam,Ilala,44000,50000,-6.82941,39.26289
Dodoma,Majengo,45000,55000,-6.17971,35.74109
Kagera,Bukoba,45000,50000,-1.3314,31.81293
Manyara,Babati,36000,42000,-4.21006,35.74915
